"Activity" "Subject" "Body_Acceleration_Mean_X" "Body_Acceleration_Mean_Y" "Body_Acceleration_Mean_Z" "Body_Acceleration_StD_X" "Body_Acceleration_StD_Y" "Body_Acceleration_StD_Z" "Gravity_Acceleration_Mean_X" "Gravity_Acceleration_Mean_Y" "Gravity_Acceleration_Mean_Z" "Gravity_Acceleration_StD_X" "Gravity_Acceleration_StD_Y" "Gravity_Acceleration_StD_Z" "Body_Acceleration_Jerk_Mean_X" "Body_Acceleration_Jerk_Mean_Y" "Body_Acceleration_Jerk_Mean_Z" "Body_Acceleration_Jerk_StD_X" "Body_Acceleration_Jerk_StD_Y" "Body_Acceleration_Jerk_StD_Z" "Body_Gyroscope_Mean_X" "Body_Gyroscope_Mean_Y" "Body_Gyroscope_Mean_Z" "Body_Gyroscope_StD_X" "Body_Gyroscope_StD_Y" "Body_Gyroscope_StD_Z" "Body_Gyroscope_Jerk_Mean_X" "Body_Gyroscope_Jerk_Mean_Y" "Body_Gyroscope_Jerk_Mean_Z" "Body_Gyroscope_Jerk_StD_X" "Body_Gyroscope_Jerk_StD_Y" "Body_Gyroscope_Jerk_StD_Z" "Body_Acceleration_Magnitude_Mean" "Body_Acceleration_Magnitude_StD" "Gravity_Acceleration_Magnitude_Mean" "Gravity_Acceleration_Magnitude_StD" "Body_Acceleration_Jerk_Magnitude_Mean" "Body_Acceleration_Jerk_Magnitude_StD" "Body_Gyroscope_Magnitude_Mean" "Body_Gyroscope_Magnitude_StD" "Body_Gyroscope_Jerk_Magnitude_Mean" "Body_Gyroscope_Jerk_Magnitude_StD" "FFT_Body_Acceleration_Mean_X" "FFT_Body_Acceleration_Mean_Y" "FFT_Body_Acceleration_Mean_Z" "FFT_Body_Acceleration_StD_X" "FFT_Body_Acceleration_StD_Y" "FFT_Body_Acceleration_StD_Z" "FFT_Body_Acceleration_Jerk_Mean_X" "FFT_Body_Acceleration_Jerk_Mean_Y" "FFT_Body_Acceleration_Jerk_Mean_Z" "FFT_Body_Acceleration_Jerk_StD_X" "FFT_Body_Acceleration_Jerk_StD_Y" "FFT_Body_Acceleration_Jerk_StD_Z" "FFT_Body_Gyroscope_Mean_X" "FFT_Body_Gyroscope_Mean_Y" "FFT_Body_Gyroscope_Mean_Z" "FFT_Body_Gyroscope_StD_X" "FFT_Body_Gyroscope_StD_Y" "FFT_Body_Gyroscope_StD_Z" "FFT_Body_Acceleration_Magnitude_Mean" "FFT_Body_Acceleration_Magnitude_StD" "FFT_Body_Acceleration_Jerk_Magnitude_Mean" "FFT_Body_Acceleration_Jerk_Magnitude_StD" "FFT_Body_Gyroscope_Magnitude_Mean" "FFT_Body_Gyroscope_Magnitude_StD" "FFT_Body_Gyroscope_Jerk_Magnitude_Mean" "FFT_Body_Gyroscope_Jerk_Magnitude_StD"
"LAYING" 1 2.2159824394e-01 -4.05139534294e-02 -1.1320355358e-01 -9.280564692e-01 -8.3682740562e-01 -8.26061401628e-01 -2.4888179828e-01 7.0554977346e-01 4.458177198e-01 -8.968300184e-01 -9.0772000676e-01 -8.5236629022e-01 8.10865342e-02 3.8382040088e-03 1.0834236361e-02 -9.58482112e-01 -9.241492736e-01 -9.548551108e-01 -1.6553093978e-02 -6.4486124088e-02 1.4868943626e-01 -8.7354386782e-01 -9.510904402e-01 -9.082846626e-01 -1.07270949192e-01 -4.151728689e-02 -7.40501211e-02 -9.186085208e-01 -9.679072436e-01 -9.577901596e-01 -8.419291525e-01 -7.9514486386e-01 -8.419291525e-01 -7.9514486386e-01 -9.543962646e-01 -9.282456284e-01 -8.74759548e-01 -8.1901016976e-01 -9.6346103e-01 -9.358409828e-01 -9.390990524e-01 -8.6706520518e-01 -8.826668762e-01 -9.244374346e-01 -8.336255561e-01 -8.1289155944e-01 -9.570738838e-01 -9.224626098e-01 -9.480609042e-01 -9.641607086e-01 -9.322178704e-01 -9.605869872e-01 -8.50249174586e-01 -9.521914948e-01 -9.09302721e-01 -8.822964508e-01 -9.512320494e-01 -9.165825082e-01 -8.617676481e-01 -7.983009404e-01 -9.333003608e-01 -9.218039756e-01 -8.621901854e-01 -8.2431943968e-01 -9.423669466e-01 -9.326606676e-01
"LAYING" 2 2.81373403958333e-01 -1.81587397583333e-02 -1.07245610416667e-01 -9.74059464791667e-01 -9.8027739875e-01 -9.84233296875e-01 -5.09754238125e-01 7.52536639375e-01 6.46834879583333e-01 -9.59014441458333e-01 -9.88211865208333e-01 -9.84230418125e-01 8.25972511666667e-02 1.2254788451875e-02 -1.80264895625e-03 -9.8587216875e-01 -9.8317254125e-01 -9.88442014375e-01 -1.847660675e-02 -1.11800824583333e-01 1.44882846104167e-01 -9.88275232916667e-01 -9.82291608958333e-01 -9.60306560416667e-01 -1.01974134208333e-01 -3.58590176083333e-02 -7.01783020833333e-02 -9.93235849166667e-01 -9.89567537916667e-01 -9.8803582125e-01 -9.77435485208333e-01 -9.72873912916667e-01 -9.77435485208333e-01 -9.72873912916667e-01 -9.87741696041667e-01 -9.8551807625e-01 -9.50011569583333e-01 -9.61164053958333e-01 -9.91767074166667e-01 -9.89718095208333e-01 -9.76725059791667e-01 -9.79800877916667e-01 -9.84380981875e-01 -9.73246482083333e-01 -9.81025105625e-01 -9.84792185e-01 -9.85813630833333e-01 -9.82768250416667e-01 -9.86197134583333e-01 -9.87250255833333e-01 -9.84987392916667e-01 -9.89345368541667e-01 -9.864311425e-01 -9.83321635416667e-01 -9.626718875e-01 -9.88860685833333e-01 -9.81910616458333e-01 -9.63174222291667e-01 -9.75110196458333e-01 -9.75121387916667e-01 -9.85374114791667e-01 -9.84568489166667e-01 -9.72112972708333e-01 -9.6109837875e-01 -9.90248702291667e-01 -9.89492660416667e-01
"LAYING" 3 2.75516852741935e-01 -1.89556785048387e-02 -1.01300477506452e-01 -9.82776639193548e-01 -9.62057544516129e-01 -9.6369103483871e-01 -2.41758478064516e-01 8.37032099677419e-01 4.8870318516129e-01 -9.82512193064516e-01 -9.81202749677419e-01 -9.64807543870968e-01 7.69811125806452e-02 1.38041011306452e-02 -4.35625874355645e-03 -9.8087931483871e-01 -9.68710724677419e-01 -9.82093162903226e-01 -2.08170540330645e-02 -7.18507159435484e-02 1.37999561112903e-01 -9.74545752096774e-01 -9.77272653709677e-01 -9.63505609032258e-01 -1.0004449883871e-01 -3.89771765322581e-02 -6.873387e-02 -9.80328645e-01 -9.86762741935484e-01 -9.83338279516129e-01 -9.72791346129032e-01 -9.64218176451613e-01 -9.72791346129032e-01 -9.64218176451613e-01 -9.79484593387097e-01 -9.76121297903226e-01 -9.51564751451613e-01 -9.54275110967742e-01 -9.8671362516129e-01 -9.83139255645161e-01 -9.80665609032258e-01 -9.61169982903226e-01 -9.68332141612903e-01 -9.83691129032258e-01 -9.64094604193548e-01 -9.6327908016129e-01 -9.80513202258064e-01 -9.68752113709677e-01 -9.79122344354839e-01 -9.83122615967742e-01 -9.71044012741936e-01 -9.83711904677419e-01 -9.70167262903226e-01 -9.78099682258065e-01 -9.62341960806452e-01 -9.75986433709677e-01 -9.77032495483871e-01 -9.67256854193548e-01 -9.6552427516129e-01 -9.68350217419355e-01 -9.75949597903226e-01 -9.75305377903226e-01 -9.6458672483871e-01 -9.55441855806452e-01 -9.84278251290323e-01 -9.82568158064516e-01
"LAYING" 4 2.63559214981481e-01 -1.50031841055556e-02 -1.10688150314815e-01 -9.54193738888889e-01 -9.41714042407407e-01 -9.62667314814815e-01 -4.20664662222222e-01 9.15165104259259e-01 3.41531310555556e-01 -9.21199965925926e-01 -9.69816635740741e-01 -9.76176608888889e-01 9.34494217777778e-02 6.93313213968519e-03 -6.41054328740741e-03 -9.78302781111111e-01 -9.42209488333333e-01 -9.78511984259259e-01 -9.23156347222222e-03 -9.30128180759259e-02 1.69720404092593e-01 -9.73102422222222e-01 -9.61109291851852e-01 -9.62073755e-01 -1.05019877685185e-01 -3.81230432222222e-02 -7.12156288333333e-02 -9.75103204259259e-01 -9.86855629814815e-01 -9.83965359814815e-01 -9.54557603148148e-01 -9.31292216611111e-01 -9.54557603148148e-01 -9.31292216611111e-01 -9.70095771666667e-01 -9.60786430740741e-01 -9.30236462592593e-01 -9.47031781666667e-01 -9.85068502037037e-01 -9.82698213703704e-01 -9.58802077592593e-01 -9.38883374444444e-01 -9.67504278888889e-01 -9.52464881481481e-01 -9.46380971111111e-01 -9.62154454259259e-01 -9.78542457407407e-01 -9.43969987222222e-01 -9.75383329444444e-01 -9.80079292592593e-01 -9.44366881666667e-01 -9.80261236296296e-01 -9.67203736481482e-01 -9.72187839074074e-01 -9.61479262592593e-01 -9.75094739444444e-01 -9.56182500185185e-01 -9.65807466666667e-01 -9.39389701296296e-01 -9.37187975962963e-01 -9.6228712537037e-01 -9.58037119259259e-01 -9.61556660185185e-01 -9.47100325185185e-01 -9.83609073333333e-01 -9.82543631666667e-01
"LAYING" 5 2.78334325576923e-01 -1.83042123269231e-02 -1.07937603673077e-01 -9.65934509615385e-01 -9.69295613269231e-01 -9.68562516346154e-01 -4.83470597692308e-01 9.54890346153846e-01 2.63644691923077e-01 -9.45695336153846e-01 -9.85964053846154e-01 -9.77076645e-01 8.48164824230769e-02 7.47460829615385e-03 -3.04067159653846e-03 -9.83307862115385e-01 -9.64560430961538e-01 -9.85419368461538e-01 -2.18935013501923e-02 -7.98709596153846e-02 1.59894366942308e-01 -9.79498706538461e-01 -9.77427370576923e-01 -9.60583776923077e-01 -1.02114125e-01 -4.04446925288462e-02 -7.083096875e-02 -9.83422257692308e-01 -9.83759479230769e-01 -9.89679592307692e-01 -9.66777882884615e-01 -9.58612786346154e-01 -9.66777882884615e-01 -9.58612786346154e-01 -9.80141253846154e-01 -9.77477145384615e-01 -9.46938300576923e-01 -9.58287921923077e-01 -9.864194225e-01 -9.8377138e-01 -9.68741678461538e-01 -9.65419520961538e-01 -9.77007724615385e-01 -9.64953893653846e-01 -9.72909186730769e-01 -9.65882191153846e-01 -9.82689657115385e-01 -9.65328566153846e-01 -9.83250309423077e-01 -9.85625270384615e-01 -9.6624258e-01 -9.86135599038461e-01 -9.75797491730769e-01 -9.78249645769231e-01 -9.63202948461538e-01 -9.80705769807692e-01 -9.77257800961538e-01 -9.63305738076923e-01 -9.62234984038462e-01 -9.62525369423077e-01 -9.77356379807692e-01 -9.76381934807692e-01 -9.68257068846154e-01 -9.59263063269231e-01 -9.84618025769231e-01 -9.83434493076923e-01
"LAYING" 6 2.48656520140351e-01 -1.02529170561404e-02 -1.33119570368421e-01 -9.34049422052632e-01 -9.24644826385965e-01 -9.25216100350877e-01 -4.7670987877193e-01 9.56593814210526e-01 1.75867709021053e-01 -8.87746310350877e-01 -9.59161956491228e-01 -9.28130738421053e-01 9.63481955263158e-02 -1.14529240245614e-03 3.28817288070175e-03 -9.66341054736842e-01 -9.33674494385965e-01 -9.59646055263158e-01 -7.9605026754386e-03 -1.07218315054386e-01 1.79102058245614e-01 -9.55378225087719e-01 -9.43634949473684e-01 -9.39141878596491e-01 -1.11267284631579e-01 -4.24104289992982e-02 -7.17774743859649e-02 -9.39611608245614e-01 -9.58628819649123e-01 -9.59579071578947e-01 -9.18878850824561e-01 -8.97326245964912e-01 -9.18878850824561e-01 -8.97326245964912e-01 -9.54750504912281e-01 -9.50341934385965e-01 -9.08980174736842e-01 -9.20914497017544e-01 -9.55645738245614e-01 -9.53157001578947e-01 -9.39114254210526e-01 -9.23706791403509e-01 -9.38044912280702e-01 -9.32462941461404e-01 -9.29711219929825e-01 -9.24004748421053e-01 -9.67072436842105e-01 -9.36043420175439e-01 -9.54425844736842e-01 -9.68619159473684e-01 -9.35717452807018e-01 -9.63567540877193e-01 -9.35439769649123e-01 -9.41771544385965e-01 -9.32636612807018e-01 -9.62164978596491e-01 -9.45365097894737e-01 -9.47136774385965e-01 -9.1235165222807e-01 -9.05373979824561e-01 -9.48655471052632e-01 -9.51552664035088e-01 -9.30153639473684e-01 -9.28694890175439e-01 -9.53695957368421e-01 -9.55504654561404e-01
"LAYING" 7 2.50176694038462e-01 -2.04411516884615e-02 -1.01361036576923e-01 -9.3651361e-01 -9.26262668653846e-01 -9.52978365961539e-01 -5.02814250576923e-01 3.93444278076923e-01 9.07537823461538e-01 -9.14221270096154e-01 -9.55543549230769e-01 -9.61908984423077e-01 9.68904018076923e-02 2.50624183634615e-02 -1.31653918205769e-02 -9.80977756153846e-01 -9.73093160192308e-01 -9.72983064230769e-01 -2.82641913096154e-03 -1.33605695057692e-01 1.55920029769231e-01 -9.601268225e-01 -9.45071935384615e-01 -9.55294890576923e-01 -1.05944243484615e-01 -3.58897425826923e-02 -6.71901794615385e-02 -9.738372325e-01 -9.76483727307692e-01 -9.88871878269231e-01 -9.36392023846154e-01 -9.07039513153846e-01 -9.36392023846154e-01 -9.07039513153846e-01 -9.80127239615385e-01 -9.67310932307692e-01 -9.15793634807692e-01 -9.18662459038462e-01 -9.83008829038462e-01 -9.71205137884615e-01 -9.53424245576923e-01 -9.42193953846154e-01 -9.58611644615385e-01 -9.31120580576923e-01 -9.22917902307692e-01 -9.53380646346154e-01 -9.80393046923077e-01 -9.72531648846154e-01 -9.69524977692308e-01 -9.83560175384615e-01 -9.75886145e-01 -9.75072995192308e-01 -9.53684547692308e-01 -9.57570207692308e-01 -9.56905310961538e-01 -9.62348254423077e-01 -9.39727873653846e-01 -9.588764125e-01 -9.27976880634615e-01 -9.10542462919231e-01 -9.68066259230769e-01 -9.65359228076923e-01 -9.41130719230769e-01 -9.18892518653846e-01 -9.74117912115385e-01 -9.69403035384615e-01
"LAYING" 8 2.61254282907407e-01 -2.12281733881481e-02 -1.02245365611111e-01 -9.4304121537037e-01 -9.3489116e-01 -9.32491454407407e-01 -4.05930036111111e-01 5.89922434814815e-01 7.19831539259259e-01 -9.18873192333333e-01 -9.57990036481482e-01 -9.4183626337037e-01 8.78326902592593e-02 2.33299159137037e-02 -1.69218791344444e-02 -9.73253042222222e-01 -9.76520952037037e-01 -9.6608757462963e-01 5.35361206851852e-03 -8.91374138592593e-02 1.3818830737037e-01 -9.65204017592593e-01 -9.52039385740741e-01 -9.6758975462963e-01 -1.06445008314815e-01 -3.89735198722222e-02 -6.94123150925926e-02 -9.69924077407407e-01 -9.74186451851852e-01 -9.87601203703704e-01 -9.35308633888889e-01 -9.1325033e-01 -9.35308633888889e-01 -9.1325033e-01 -9.7314748962963e-01 -9.62954517222222e-01 -9.24253348518518e-01 -9.32470764444444e-01 -9.78438191296296e-01 -9.69029111666667e-01 -9.53538563888889e-01 -9.51816663703704e-01 -9.44269514074074e-01 -9.40125298333333e-01 -9.31236756962963e-01 -9.31146497518519e-01 -9.73110596111111e-01 -9.75877437407407e-01 -9.62111136666667e-01 -9.75959911481481e-01 -9.79170881666667e-01 -9.68699222962963e-01 -9.57903886111111e-01 -9.57411160185185e-01 -9.67461239074074e-01 -9.67846360740741e-01 -9.50316470925926e-01 -9.70671966481481e-01 -9.32279645518518e-01 -9.17257979425926e-01 -9.61792852407407e-01 -9.63791094259259e-01 -9.44528950555556e-01 -9.3678697e-01 -9.68403945925926e-01 -9.71793279814815e-01
"LAYING" 9 2.591955368e-01 -2.0526821662e-02 -1.0754972144e-01 -9.4233309e-01 -9.162927764e-01 -9.407072854e-01 -5.802528348e-01 -1.191541962e-01 9.578730416e-01 -9.218210626e-01 -9.699944882e-01 -9.712046902e-01 8.807344764e-02 1.1561732718e-02 -7.0536778584e-03 -9.647404702e-01 -9.639966798e-01 -9.58562455e-01 -1.3632036148e-02 -1.5890291983e-01 1.01275010682e-01 -9.422465098e-01 -9.266185314e-01 -9.615953704e-01 -1.0384667982e-01 -2.7552256948e-02 -5.69490475e-02 -9.45329035e-01 -9.621702422e-01 -9.770761602e-01 -9.308684376e-01 -9.1512680016e-01 -9.308684376e-01 -9.1512680016e-01 -9.633745492e-01 -9.550268052e-01 -9.071250998e-01 -8.985578738e-01 -9.64524819e-01 -9.528015598e-01 -9.46865494e-01 -9.343665984e-01 -9.459190006e-01 -9.409810272e-01 -9.128367508e-01 -9.419711636e-01 -9.64304065e-01 -9.640828062e-01 -9.55909215e-01 -9.686013042e-01 -9.66634136e-01 -9.597147176e-01 -9.30297921e-01 -9.345796594e-01 -9.598150092e-01 -9.463891504e-01 -9.231319366e-01 -9.65686312e-01 -9.266042952e-01 -9.21929738394e-01 -9.543205856e-01 -9.550947122e-01 -9.186053356e-01 -9.034005814e-01 -9.558062546e-01 -9.522904702e-01
"LAYING" 10 2.80230574137931e-01 -2.4294484137931e-02 -1.17168642362069e-01 -9.68283685e-01 -9.46454302068966e-01 -9.5947148637931e-01 -4.53069737586207e-01 -1.39297681034483e-01 -3.1121624137931e-02 -9.54531941896552e-01 -9.66701156034483e-01 -9.63045642431035e-01 7.3815064487931e-02 1.5698997097069e-02 7.16689586275862e-03 -9.78007466724138e-01 -9.66930793448276e-01 -9.76256662586207e-01 -1.9555937162069e-02 -7.70325657265517e-02 1.04720478344828e-01 -9.61713199827586e-01 -9.53660207586207e-01 -9.71940597413793e-01 -1.00308254413793e-01 -3.88797920413793e-02 -5.90744912758621e-02 -9.65900578103448e-01 -9.66621040344828e-01 -9.83949302758621e-01 -9.56781819655172e-01 -9.40301654482759e-01 -9.56781819655172e-01 -9.40301654482759e-01 -9.76234435172414e-01 -9.67556980689655e-01 -9.37590998793103e-01 -9.27471165517241e-01 -9.70830848965517e-01 -9.59632931551724e-01 -9.6918420862069e-01 -9.54341849137931e-01 -9.64300845172414e-01 -9.6796803862069e-01 -9.46229148258621e-01 -9.59813667810345e-01 -9.79014668793104e-01 -9.68039173793103e-01 -9.72592212931034e-01 -9.78904364137931e-01 -9.68120692241379e-01 -9.78582339137931e-01 -9.53793912068965e-01 -9.54670034482759e-01 -9.69755777241379e-01 -9.6454456637931e-01 -9.53453496551724e-01 -9.75298797068965e-01 -9.50848109137931e-01 -9.44304974655172e-01 -9.68561121551724e-01 -9.65377553448276e-01 -9.37692642586207e-01 -9.33701315344828e-01 -9.60976821551724e-01 -9.60772875517241e-01
